timestamp,Infrared to Red Signal Ratio
04/03/25 15:53:32,0
04/03/25 15:54:32,0
04/03/25 15:55:32,0
04/03/25 15:56:32,0
04/03/25 15:57:32,0
04/03/25 15:58:32,0
04/03/25 15:59:32,0
04/03/25 16:00:32,0
04/03/25 16:01:32,0
04/03/25 16:02:32,0
04/03/25 16:03:32,0
04/03/25 16:04:32,0
04/03/25 16:05:32,0
04/03/25 16:06:32,0
04/03/25 16:07:32,0
04/03/25 16:08:32,0
04/03/25 16:09:32,0
04/03/25 16:10:32,0
04/03/25 16:11:32,0
04/03/25 16:12:32,0
04/03/25 16:13:32,0
04/03/25 16:14:32,0
04/03/25 16:15:32,0
04/03/25 16:16:32,0
04/03/25 16:17:32,0
04/03/25 16:18:32,0
04/03/25 16:19:32,0
04/03/25 16:20:32,0
04/03/25 16:21:32,0
04/03/25 16:22:32,0
04/03/25 16:23:32,0
04/03/25 16:24:32,0
04/03/25 16:25:32,0
04/03/25 16:26:32,0
04/03/25 16:27:32,0
04/03/25 16:28:32,0
04/03/25 16:29:32,0
04/03/25 16:30:32,0
04/03/25 16:31:32,0
04/03/25 16:32:32,0
04/03/25 16:33:32,0
04/03/25 16:34:32,0
04/03/25 16:35:32,0
04/03/25 16:36:32,0
04/03/25 16:37:32,0
04/03/25 16:38:32,0
04/03/25 16:39:32,0
04/03/25 16:40:32,0
04/03/25 16:41:32,0
04/03/25 16:42:32,0
04/03/25 16:43:32,0
04/03/25 16:44:32,0
04/03/25 16:45:32,0
04/03/25 16:46:32,0
04/03/25 16:47:32,0
04/03/25 16:48:32,0
04/03/25 16:49:32,0
04/03/25 18:21:33,0
04/03/25 22:34:24,0
